,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,,,,,,,,,,,,,
A,-40,-40,-30,-30,-20,-20,-10,-10,-10,-10,1559,1720,1720,1727,1727,1796,1807,1814,1862,1875,1882,1882,1893,1965,1976,1976,2016,2016,2016,2092,2092,2092,2092,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2107,2107,2107,2107,2107,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,,,,,2136,2136,,,,,,,
B,-70,-60,-50,-50,-40,-30,-20,-20,-20,-20,-10,-10,-10,-10,1162,1224,1233,1326,1326,1327,1366,1366,1374,1397,1437,1437,1461,1461,1466,1468,1490,1490,1490,1497,1497,1497,1497,1497,1497,1497,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,,,,,1543,1543,1543,1543,1543,1543,1543,1543,
C,-80,-50,-50,-50,-40,-40,-40,-40,-30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,1175,1175,1175,1175,1195,1195,1204,1204,1258,1278,1307,1334,1383,1387,1416,1443,1443,1476,1479,1479,1539,1539,1539,1638,1638,1638,1718,1718,1718,1718,1718,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,,,,,,,,,,,,,
D,-70,-40,-20,-20,-20,-10,-10,1365,1368,1448,1529,1584,1584,1629,1636,1690,1712,1739,1759,1806,1835,1835,1835,1842,1854,1876,1905,1905,1916,1945,1959,1959,1959,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1993,1993,1993,1993,1993,1993,2006,2006,2006,2006,2006,2017,2017,2017,2017,2017,2017,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,,,,,,,,,,,,,
E,-70,-60,-40,-40,-40,-20,-20,-20,-20,-10,-10,1642,1754,1754,1778,1778,1785,1787,1855,1872,1909,1916,1940,1973,2009,2009,2009,2033,2033,2033,2033,2033,2033,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,,,,,,,,,,,,,
F,-70,-50,-50,-50,-40,-40,-20,-20,-20,-20,-10,-10,1753,1753,1803,1803,1803,1832,1832,1832,1863,1892,1896,1925,1925,1939,1939,1965,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,,,,,1979,1979,1979,1979,1979,1979,1979,1979,1979
G,-50,-50,-40,-30,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,1935,2014,2014,2014,2014,2023,2076,2115,2115,2177,2177,2177,2177,2177,2177,2177,2187,2187,2187,2187,2187,2187,2187,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,,,,,2226,2226,2226,2226,2226,2226,2226,,
H,-60,-60,-60,-50,-40,-40,-30,-30,-20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1468,1468,1482,1482,1482,1544,1544,1544,1573,1573,1573,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,,,,,1586,1586,,,,,,,
I,-60,-50,-50,-50,-30,-30,-20,-10,-10,-10,1111,1314,1314,1412,1412,1412,1412,1423,1473,1508,1519,1519,1563,1659,1659,1659,1659,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1721,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,,,,,1742,1742,1742,1742,1742,1742,,,
J,-70,-70,-60,-30,-30,-30,-20,-20,-10,-10,-10,-10,-10,-10,1316,1316,1351,1368,1392,1467,1467,1502,1519,1590,1590,1642,1669,1669,1716,1716,1716,1729,1776,1776,1776,1776,1776,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,,,,,,,,,,,,,
